"temperatura","humidade","data","id"
19.3,71,"2021-01-01 17:06:49.052433+00",1
19.6,71,"2021-01-01 17:07:05.748804+00",2
19.8,70,"2021-01-01 17:07:22.63555+00",3
19.4,70,"2021-01-01 17:07:39.552125+00",4
19.4,70,"2021-01-01 17:07:56.216499+00",5
19.3,70,"2021-01-01 17:08:13.148337+00",6
19.2,71,"2021-01-01 17:08:29.987048+00",7
19.4,71,"2021-01-01 17:08:46.635168+00",8
19.5,70,"2021-01-01 17:09:03.313813+00",9
19.6,70,"2021-01-01 17:09:20.023844+00",10
19.6,70,"2021-01-01 17:09:36.806487+00",11
19.7,69,"2021-01-01 17:09:54.198694+00",12
19.7,69,"2021-01-01 17:10:10.246309+00",13
19.6,69,"2021-01-01 17:10:26.931741+00",14
19.6,70,"2021-01-01 17:10:43.925695+00",15
19.6,70,"2021-01-01 17:11:00.786722+00",16
19.6,70,"2021-01-01 17:11:17.751649+00",17
