"alcohol","co2","nh4","co","data","id"
1.28,2.76,4.21,3.78,"2021-01-01 17:06:49.091911+00",1
1.39,2.97,4.5,4.19,"2021-01-01 17:07:05.786107+00",2
1.44,3.06,4.61,4.36,"2021-01-01 17:07:22.654514+00",3
3.28,6.44,8.77,12.13,"2021-01-01 17:07:39.560355+00",4
1.18,2.56,3.94,3.4,"2021-01-01 17:07:56.224057+00",5
1.41,3.02,4.55,4.27,"2021-01-01 17:08:13.154842+00",6
3.24,6.36,8.68,11.93,"2021-01-01 17:08:29.998164+00",7
1.35,2.89,4.38,4.02,"2021-01-01 17:08:46.642171+00",8
1.35,2.89,4.38,4.02,"2021-01-01 17:09:03.320291+00",9
3.33,6.52,8.86,12.33,"2021-01-01 17:09:20.031826+00",10
2.12,4.35,6.24,7.06,"2021-01-01 17:09:36.813393+00",11
1.44,3.06,4.61,4.36,"2021-01-01 17:09:54.252466+00",12
1.37,2.93,4.44,4.1,"2021-01-01 17:10:10.253143+00",13
2.12,4.35,6.24,7.06,"2021-01-01 17:10:26.944406+00",14
2.12,4.35,6.24,7.06,"2021-01-01 17:10:44.125237+00",15
3.37,6.6,8.95,12.54,"2021-01-01 17:11:00.793501+00",16
1.37,2.93,4.44,4.1,"2021-01-01 17:11:17.766649+00",17
2.15,4.4,6.31,7.19,"2021-01-01 17:11:34.910822+00",18
2.06,4.23,6.1,6.81,"2021-01-01 17:11:52.325545+00",19
3.33,6.52,8.86,12.33,"2021-01-01 17:12:08.818118+00",20
3.03,5.99,8.23,10.97,"2021-01-01 17:12:25.389133+00",21
2.18,4.46,6.39,7.32,"2021-01-01 17:12:42.210086+00",22
2.12,4.35,6.24,7.06,"2021-01-01 17:12:59.834104+00",23
2.18,4.46,6.39,7.32,"2021-01-01 17:13:15.763563+00",24
3.28,6.44,8.77,12.13,"2021-01-01 17:13:32.646758+00",25
